Sample	Group	Latitude	Longitude	PR	PR_class	Multi_funcion_nokegg_noVB12
ERR1700674	Forest	49.08	-89.38	0	Non-agricultural land	0.782478066
ERR1700677	Forest	49.08	-89.38	0	Non-agricultural land	0.697475045
ERR1700678	Forest	49.08	-89.38	0	Non-agricultural land	0.711819202
ERR1700679	Forest	49.08	-89.38	0	Non-agricultural land	0.719178859
ERR1700683	Forest	49.08	-89.38	0	Non-agricultural land	0.881934107
ERR1700684	Forest	49.08	-89.38	0	Non-agricultural land	0.669636733
ERR1700685	Forest	49.08	-89.38	0	Non-agricultural land	0.741332891
ERR1700687	Forest	49.08	-89.38	0	Non-agricultural land	0.99069201
ERR1700688	Forest	49.08	-89.38	0	Non-agricultural land	0.95117509
ERR1700689	Forest	49.08	-89.38	0	Non-agricultural land	0.744882858
ERR1700690	Forest	49.08	-89.38	0	Non-agricultural land	0.874704677
ERR1700691	Forest	49.08	-89.38	0	Non-agricultural land	0.775244024
ERR1700693	Forest	49.08	-89.38	0	Non-agricultural land	0.879765832
ERR1700699	Forest	38.88	-120.64	0	Non-agricultural land	0.715273501
ERR1700700	Forest	38.88	-120.64	0	Non-agricultural land	0.62485434
ERR1700701	Forest	38.88	-120.64	0	Non-agricultural land	0.849098944
ERR1700702	Forest	38.88	-120.64	0	Non-agricultural land	0.691775995
ERR1700703	Forest	38.88	-120.64	0	Non-agricultural land	0.675573688
ERR1700704	Forest	38.88	-120.64	0	Non-agricultural land	0.946256489
ERR1700705	Forest	38.88	-120.64	0	Non-agricultural land	0.705575675
ERR1700706	Forest	38.88	-120.64	0	Non-agricultural land	0.746691119
ERR1700707	Forest	38.88	-120.64	0	Non-agricultural land	1.091584043
ERR1700708	Forest	38.88	-120.64	0	Non-agricultural land	0.699101115
ERR1700709	Forest	38.88	-120.64	0	Non-agricultural land	0.984806472
ERR1700710	Forest	38.88	-120.64	0	Non-agricultural land	0.972853367
ERR1700711	Forest	38.88	-120.64	0	Non-agricultural land	0.695472376
ERR1700712	Forest	38.88	-120.64	0	Non-agricultural land	0.966714451
ERR1700713	Forest	38.88	-120.64	0	Non-agricultural land	0.693396311
ERR1700714	Forest	38.88	-120.64	0	Non-agricultural land	0.811058821
ERR1700722	Forest	46.42	-83.37	0	Non-agricultural land	0.927610767
ERR1700723	Forest	46.42	-83.37	0	Non-agricultural land	0.680142354
ERR1700727	Forest	46.42	-83.37	0	Non-agricultural land	0.788208219
ERR1700728	Forest	46.42	-83.37	0	Non-agricultural land	0.887596366
ERR1700729	Forest	46.42	-83.37	0	Non-agricultural land	0.70507238
ERR1700733	Forest	46.42	-83.37	0	Non-agricultural land	0.745016931
ERR1700734	Forest	46.42	-83.37	0	Non-agricultural land	0.774632211
ERR1700735	Forest	46.42	-83.37	0	Non-agricultural land	0.723750289
ERR1700739	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.738445418
ERR1700740	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.977508574
ERR1700741	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.805950875
ERR1700742	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.740106126
ERR1700743	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.895074812
ERR1700744	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.764769749
ERR1700745	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.767739566
ERR1700746	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.739248312
ERR1700747	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.767417905
ERR1700748	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.776866948
ERR1700749	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.987476232
ERR1700750	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.761359543
ERR1700751	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.760245206
ERR1700752	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.755237781
ERR1700753	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.781879235
ERR1700754	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.746030559
ERR1700755	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.861581243
ERR1700756	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.742138955
ERR1700757	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.738242399
ERR1700758	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.8758739
ERR1700759	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.732071895
ERR1700760	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.754795793
ERR1700761	Forest	31.11	-95.15	2.678875979	Non-agricultural land	0.923251679
ERR1742252	Forest	52.32	-121.92	2.701630238	Non-agricultural land	0.858973654
ERR1742253	Forest	52.32	-121.92	2.701630238	Non-agricultural land	0.846894004
ERR1742254	Forest	52.32	-121.92	2.701630238	Non-agricultural land	0.800285698
ERR1742255	Forest	52.32	-121.92	2.701630238	Non-agricultural land	0.799367354
ERR1742256	Forest	52.32	-121.92	2.701630238	Non-agricultural land	0.827735834
