Farmland_L	Farmland_M	Farmland_H	Forest_L	Forest_M	Forest_H	Grassland_L	Grassland_M	Grassland_H	Wetland_L	Wetland_M	Wetland_H
0.93789939	0.79972166	1.07287633	0.82158999	0.77535639	0.81425526	0.86490498	0.9785185	0.82439681	1	0.90052958	0.92924354
0.92237551	0.80230069	1.08161647	0.73233812	1.02636904	0.92411012	0.88288648	1.00688238	0.80930195		0.87156056	0.89783818
0.9728656	0.78038021	1.08217399	0.74739927	0.84623608	0.88387898	0.84565325	0.65642078	0.81343544		0.87742159	0.89956134
0.93179582	0.78216264	0.92188115	0.75512679	0.7771001	1.01588517	0.88550462	0.79164929	0.78801851		0.89266884	0.92655287
0.93563382	0.78441964	0.92192263	0.92601731	0.93981485	1.04323732	0.89568322	0.78486409	0.77324905		0.84737657	0.91266913
0.95088389	0.78855608	0.92129792	0.70310832	0.80299653	1.03852316	0.87860034	0.88171239	0.99714636		0.86698952	0.89572715
0.92382595	0.76620414	0.92097426	0.77838819	0.80611479	0.96692881	0.8884239	0.86074543	0.98816672		0.87793512	0.90157677
0.94090354	0.76846515	0.920799	1.04021145	0.77619941	0.98479434	0.89756097	0.80929943	1.01667019		0.8829747	0.92272532
0.93027155	0.7801558	0.92056363	0.99871929	0.80577705	0.97347147	0.88243804	0.63329799	0.99024704		0.89082598	0.99549884
0.95359777	0.78195939	0.91713602	0.7821156	0.8156984	0.97709622	0.88926755	0.74519756	1.0032611		0.86437967	1.06662175
0.9248759	0.81240217	0.91676038	0.91842652	1.03683493	0.96984718	0.86771231	0.84737464	1.19584648		0.89910593	1.01632698
0.92602095	0.81394862	0.9163209	0.81399436	0.79941587	0.97175665	0.89040098	0.64616575	0.99971533		0.90933158	1.29645345
0.92558708	0.79566767	0.91318186	0.92374066	0.79824583	0.97413255	0.87558212	0.5578985	1.2117355		0.87107071	1.33692925
0.94805131	0.79800602	0.91325481	0.75102623	0.79298811	0.93433744	0.89079031	0.7144964	0.75165078		0.86521817	0.92980952
0.91103331	0.79031623	0.91279993	0.65608749	0.82096123	0.89041907	0.8940027	0.6496668			0.8776536	0.93595902
0.96037093	0.79337853	0.91948872	0.89154089	0.78332067	0.90667965	0.89503713	0.6553341			0.89919985	0.9221903
0.92631948	0.75785789	0.91904277	0.72635421	0.90464712	0.92061482	0.934563	0.61328857			0.90563161	0.9393964
0.96753985	0.76108308	0.92048937	0.70934203	0.77923454	1.14729561	0.85620909	0.79229319			0.88137168	0.93122806
0.93819493	0.76515846	0.91456524	0.99355483	0.77514322	0.87527808	0.92616006	0.8050116			0.899939	0.93449325
0.93952101	0.76778065	0.9157744	0.74084366	0.91965419	0.86601131	0.9064823	0.7786771			0.92319688	0.93828344
0.9653699	0.78269993	0.91549492	0.78401425	0.76866428	0.86507784	0.88442119	1.0229036			0.90325217	0.93474236
0.96311154	0.78343273	0.91207522	1.14614654	0.79252403	1.03952106	0.89275453	0.99926887			0.88163886	0.95920589
0.94588425	0.75851774	0.91248433	0.73404547	0.96940013	0.8295727	0.86430617	0.95484617			0.88350448	0.9531877
0.95279973	0.76119958	0.91183963	1.03403172	0.90190919	0.81721065	0.92247108	0.91430616			1.25056404	0.8407313
0.93702794	0.77294308	0.90342268	1.02148114	0.88922574	1.01467758	0.89897026	1.2353316			1.37970699	1.00640239
0.94853775	0.77586297	0.90313869	0.73023535	0.84028773	0.95862871	0.87971176	0.92969104			0.86311715	0.91393742
0.94260618	0.80485057	0.90380483	1.01503538	0.83932349	1.18091292	0.90858997	0.81843079			0.94168366	0.83284822
0.94763969	0.80600942	0.90833982	0.72805551	0.86910996	1.01785351	0.80134987	0.81478875			1.05291993	0.91124333
0.9475069	0.73068299	0.90766172	0.85159935	0.82860837	0.94785993	0.87555465	1.29595211			1.11520549	1.01877826
0.90633165	0.7352979	0.91052413	0.97397711	0.80511547	1.01147261	0.85347493	1.33826471			1.48741379	1.01092176
0.94064873	0.73934215	0.91154231	0.71413906	0.86907002	1.01728552	0.83817129	1.33758911			1.02595364	0.99243678
0.92870681	0.74136228	0.9232147	0.82760657	1.09514033	0.96271355	0.88853127	1.3670049			1.25375697	0.78400109
0.95414929	0.53502775	0.92219145	0.9319626	0.81083845	1.00885467	0.89348724	1.24767362			0.9643642	0.67137816
0.94676851	0.63956765	0.92295241	0.74031521	1.01966565	0.99436645	0.82172919	1.33626606			0.95827742	0.89872391
0.66735921	0.9359443	0.92408989	0.78225637	0.76523023	1.01939411	0.90923655	1.31555564			0.94266938	0.94117725
0.71520903	0.93759348	0.92318957	0.81335196	0.95200579	1.03992187	0.89552375	1.26171042				0.88844654
0.7014649	0.93644131	0.92449283	0.75992673	0.73410488	0.99002147	0.86481611	1.26809307				0.66394493
0.66171896	0.94766038	0.92351832	1.1461535	0.81001711	0.95262143	0.83505796	1.31164216				0.70861593
0.70963475	0.9345816	0.92375259	1.44683588	0.8780198	0.98505313	0.86994151	1.49327638				0.93255158
0.66484054	0.96061954	0.92407853	1.00366715	1.0118461	0.80506652	0.8871296	1.38802442				0.68052854
0.69696966	0.95077724	0.9230175	1.35475478	0.83036797	1.21645359	0.86590783	1.37260099				0.53865142
0.64084747	0.95054078	0.92423801	0.84859202	0.81283685	1.10967542	0.91783497	1.36316515				0.59861728
0.97890708	0.94308674	0.92558019	0.85222651	0.84422469	0.61744189	0.85465092	1.49806328				0.70881889
0.96474922	0.93603318	0.81469376	0.85394985	0.8859428	1.3845451	0.87439554	1.31113254				0.87272581
0.97784954	0.94804086	0.78789655	0.86528503	0.8206763	1.1791847	0.89099101	1.49717263				0.89758105
0.97745519	0.94765107	0.76553366	0.88386991	0.74958402	0.94877518	0.69280959	1.30039579				0.72878837
0.97492216	0.55551665	0.80605718	1.05466417	0.80378201	1.02419623	0.90044573	1.27639822				0.90807262
0.97171712	0.91744982	0.84028511	0.79676635	0.90577873	0.99776095	0.89277648	1.35723607				0.89449705
0.97513422	0.91744982	0.79650599	0.86492904	0.76353948	1.21472382	0.90854501	1.35309381				0.91732482
0.94969954	0.53076558	0.79471039	0.8270697	0.97907463	0.99983523	0.88841137	1.33751638				0.79343493
0.9477135	0.60073744	0.9189803	0.55562143	0.96826443	0.98328145	0.88575206	1.265857				0.74884193
0.94512404	0.48042457	0.83505755	0.81439761	0.95858428	1.18205892	0.89600676	1.48555568				0.90108884
0.94339303	0.55222624	0.80350896	0.61540101	1.44954838	0.99449056	0.91771621	1.32067171				0.87730862
0.94482556	0.57375044	0.81173669	0.6740716	0.91884124	0.99678875	0.90780564	1.31240737				0.84605085
0.96226898	0.50908959	0.7873348	0.67994738	0.65741785	0.9711891	0.90788543	1.24923108				0.90863616
0.9662286	0.61263738	0.79531288	0.68536713	0.80533797	1.01129537	0.87924186	1.30697923				0.93942135
0.9688475	0.47418389	0.84693582	0.65045687	0.77028157	0.94444007	0.91275951	1.27593136				0.83506157
0.96681319	0.6893553	0.80591895	0.69662708	0.79257127	0.97907175	0.9081945	1.35669053				0.86441423
0.97074379	0.62268406	0.83298512	0.87511323	0.71614348	0.95190187	0.92558267	1.38689218				0.90394707
0.96862192	0.63709173	0.91625982	0.74018526	0.66457726	0.98115315	0.90516596	1.47796049				0.84833316
0.96534547	0.70062796	0.92127232	0.70873883	0.7251571	1.02649032	0.90861179	1.30078881				0.90648084
0.96309455	0.68403383	0.68729954	1.11884045	0.99684892	0.9570522	0.93536654	1.36727597				0.90737936
0.96849914	0.7527238	0.64032589	0.71788086	0.80585796	1.00727416	0.90258943	1.30431965				0.88939266
0.97692635	0.63149504	0.34287617	0.73043144	0.79825307	1.0264952	0.91803309	1.27069672				0.90615018
0.97504037	0.71561023	0.63544871	1.00469688	0.66109983	0.94666759	0.89243803	1.2287456				0.64833582
0.96046576	0.66132247	0.04192454	1.06413032	0.9137252	0.94549197	0.90726792	1.31252836				0.74072045
0.98091652	0.72177286	0.79262579	0.96954291	0.92956915	0.29789183	0.89893216	1.42303824				0.69790908
0.97771724	0.65766063	0.78090261	0.9889507	0.78939359	0.86568603	0.8954953	1.38175401				0.67089009
0.97964575	0.59661917	0.77583846	1.04532788	0.82148792	0.22568747	0.90796261	1.28663118				0.72948151
0.97966844	0.89833365	0.78339157	1.04993327	0.80786892	0.64520495	0.92172417	1.34986803				0.76686523
0.97797156	0.87948962	0.6642598	0.98470741	0.75989064	0.52127962	0.88234493	1.53007061				0.79785247
0.97601912	0.8883807	0.63470212	1.04522932	0.71594079	1.02337531	0.91502366	1.24967145				0.76777808
0.97845476	0.88535039	0.67606964	0.99529375	0.67175184	1.19965304	0.91621957	1.35994163				0.91869417
0.97822998	0.88976141	0.77864402	0.96787569	0.96539711	0.95189702	0.93858312	1.24042258				0.93129546
0.97148632	0.89282477	0.79558208	0.86711946	0.91556128	1.18230041	0.86815552	1.35483794				0.8769409
0.97184592	0.89297284	0.80171813	1.05153674	0.72358734		0.93609491	1.29171857				0.93365537
0.97259489	0.88953483	0.77270399	1.01048885	0.96380553		0.89915262	1.37957691				0.91935495
0.97369525	0.88857073	0.77559345	1.01044525	0.75143054		0.93333063	1.24364565				1.13191054
0.96995707	0.86901825	0.79517714	0.96475686	1.20731232		0.90953792	1.26595168				0.93345048
0.97823411	0.88639433	0.82192733	0.94220423	0.79350128		0.91665977	1.35571354				1.14290668
0.96968428	0.81680242	0.84419154	1.12110588	1.02201295		0.88002396	0.82796378				0.93909887
0.93862099	0.48451676	0.79079627	1.1795268	1.00128601		0.905734	0.79951274				0.9439188
0.96512827	0.55628896	0.83843865	0.97496588	0.78606582		0.91315	0.79060207				1.19523809
0.96513405	0.56726934	0.7701783	0.97190844	1.10136122		0.92322883	0.79595408				1.17255512
0.96682367	0.52375996	0.69918106	0.94946328	0.99663938		0.91224696	0.79653815				1.42545834
0.96435074	0.52682594	0.62845568	0.9527258	0.77869994		0.87522531	0.77521004				1.14897189
0.96746198	0.50831335	0.6333106	0.96118394	0.87077124		0.83898553	1.06351905				1.01496602
0.96683686	0.6043048	0.89308699	0.94398334	0.89919257		0.83549038	0.87215315				1.16906901
0.928199	0.51575835	0.8982433	0.91631328	1.03276898		0.80658363	0.79008195				1.10655404
0.9239194	0.99987337	0.90954863	1.04895473	0.99914697		0.62811653	0.42513722				0.88822715
0.92426657	1.00167689	0.76411526	0.92432245	0.94895955		0.65863949	0.66055517				1.22387168
0.90917124	1.02511881	0.72260089	0.71283113	0.97501366		0.70935206					1.18749716
0.92859747	1.05386874	0.75951034	1.00677434	0.99536468		0.83516478					1.09874912
0.9572751	0.99737491	0.56583922	1.18100854	0.92288816		0.84612671					1.18524497
0.96286684	0.9747555	0.74094031	0.97375323	1.0013		0.84743796					1.17011816
0.96080065	1.06044977	0.88994685	1.04164862	1.00859591		0.83141553					1.13367715
0.95594693	0.97515424	0.92363058	1.08462027	0.95052806		0.80899001					1.08652825
0.96655463	1.00844745	0.63057057	1.17477032	0.90782391		0.84071379					1.32161043
0.95951905	1.00534651	0.6664924	0.98474139	1.00716817		0.82936125					1.38094431
0.94509072	1.15106865	0.65654662	0.98026231	0.98089252		0.85742293					0.8222319
0.96021415	0.97900411	0.64256679	1.00997871	1.20700228		0.8438398					1.1314714
0.96370059	0.97315032	0.89696379	1.04166193	1.0035292		0.85898107					1.33779049
0.9454594	0.98925604	0.94095142	0.92841376	1.05589267		0.84793747					
0.9808207	1.00665255	0.95091543	1.08223611	1.04310637		0.90230876					
0.97659281	1.19310504	0.89397047	0.82678323	1.00575302		0.78657681					
0.97770543	1.00151367	0.94097702	0.85468424	0.91940585		0.74419351					
0.97763765	0.98330637	0.94575895	0.83001593	1.03302924		0.77788913					
0.97661006	0.99811601	0.8844386	0.8580558	1.03355321		0.8626502					
0.97732628	1.03179561	0.9598418	0.84838462	1.038379		0.87286769					
0.96362079	1.20823143	0.95672856	0.88100155	1.0013402		0.87756913					
0.96256486	1.05039895	0.94874539	0.90264733	0.95652733		0.90712619					
0.7013275	1.04558929	0.92003367	0.79863229	1.04096814		0.89470831					
0.69647295	1.04170769	0.90681496	0.89343463	1.03519457		0.87189712					
0.68907774	1.01469698	0.57691259	0.82245119	1.23518221		0.89153199					
0.70634903	1.0432566	0.82082291	1.02626628	1.03378354		0.86712211					
0.70745383	1.00914263	0.81940126	1.03119747	0.93421084		0.90022908					
0.71365537	1.20125217	0.85857702	1.03298764	0.93246707		0.86949182					
0.88187296	0.99669022	0.87622441	0.88307205	0.97529259		0.89237072					
0.72767476	1.19884742	0.8692407	1.01026455	0.94382778		0.87597932					
0.67066693	0.944479	0.86637068	1.03697599	1.12597687		0.88497472					
0.85407824	1.00112713	0.78267802	0.98364193	0.9500338		0.87713103					
0.82728652	1.00921421	0.62039145	0.9759117	0.96606566		0.6019561					
0.81538735	1.00284679	0.66361208	0.9380001	0.98567434		0.89359475					
0.74693574	0.99902519	0.76501414	1.20146556	0.99595917		0.87155557					
0.77174974	1.00112594	0.77238087	1.03549806	1.00625774		0.88146102					
0.77319189	1.24476653	0.73144468	1.06582221	1.27078793		0.87529767					
0.77594129	1.02896725	0.73806702	0.99651691	1.01409713		0.88408462					
0.77868211	1.01632465	0.73798063	0.99803042	0.94104125		0.52536653					
0.91721989	1.07326297	0.77419664	1.00221617	1.00811335		0.87757925					
0.91689039	0.99346912	0.76845931	0.98217151	0.76694028		0.84603496					
0.9151261	1.17197596	0.77898208	0.99183636	0.99737325		0.90595199					
0.92203273	0.92906877	0.78062697	1.03349213	0.95379936		0.89694335					
0.92245284	0.93531071	0.76902725	0.97284372	0.92288818		0.90270369					
0.8554847	0.91952132	0.76610525	1.02951831	1.1303475		0.88591831					
0.91488635	0.92865901	0.75750014	1.00440911	1.00555924		0.86625378					
0.91601763	0.91914549	0.75489485	0.96719382	1.18390433		0.90231909					
0.86689108	0.91710668	0.73458463	0.90078647	0.69283178		0.88163082					
0.94304109	0.91047687	0.72803956	0.89365385	0.8757149		0.8429265					
0.9236235	0.90405427	0.70754974	0.93993058	0.91445579		0.85258361					
0.92956813	0.89796917	0.73818205	1.14081864	0.8313325		0.86694433					
0.9379199	0.91171869	0.76611616	1.00442684	0.76732181		0.85014673					
0.95092893	0.90514792	0.76414396	1.06061404	0.9013538		0.86798743					
0.93686028	0.89275601	0.73133031	1.02730065	0.66719476		0.88681311					
0.93034354	0.89089016	0.73694522	0.96628735	0.82677981		0.90332422					
0.92586894	0.89430241	0.77435168	0.99941403	1.23826613		0.89919618					
0.93684687	0.93561546	0.75509501	1.04805532	0.96715902		0.9075953					
