PR,Multi_funcion_nokegg_noVB12
0,0.893250531
0,0.878465669
0,0.92655217
0,0.887437526
0,0.891092822
0,0.905616909
0,0.87984706
0,0.896111675
0,0.885985821
0,0.908201588
0,0.880847031
0,0.881937569
0,0.881524359
0,0.902919174
0,0.867663417
0,0.914652313
0,0.882221893
0,0.921479953
3.347448936,1.021801877
3.347448936,1.030125941
3.347448936,1.030656922
3.836518501,0.877994851
3.836518501,0.878034351
3.836518501,0.877439383
3.836518501,0.877131127
3.836518501,0.876964213
3.836518501,0.876740046
3.836518501,0.873475606
3.836518501,0.873117853
3.836518501,0.872699293
3.836518501,0.869709693
3.836518501,0.869779165
3.836518501,0.869345936
3.836518501,0.875716304
3.836518501,0.875291591
3.836518501,0.876669327
3.836518501,0.871027213
3.836518501,0.872178809
3.836518501,0.871912633
3.836518501,0.868655731
3.836518501,0.869045359
3.836518501,0.868431351
3.836518501,0.860415097
3.836518501,0.860144622
3.836518501,0.860779048
3.836518501,0.865098153
3.836518501,0.864452336
3.836518501,0.867178482
3.836518501,0.868148186
3.836518501,0.879264913
3.836518501,0.878290379
3.836518501,0.879015113
3.836518501,0.880098439
3.836518501,0.879240983
3.836518501,0.8804822
3.836518501,0.879554078
3.836518501,0.879777195
3.836518501,0.880087622
3.836518501,0.879077102
3.836518501,0.880239505
3.836518501,0.881517793
1.862617738,0.76165078
1.862617738,0.764107036
1.862617738,0.743230082
1.862617738,0.744927658
1.862617738,0.747077211
1.862617738,0.751016736
1.862617738,0.729728864
1.862617738,0.731882237
1.862617738,0.743016358
1.862617738,0.744734083
1.862617738,0.773727628
1.862617738,0.775200462
1.862617738,0.75778978
1.862617738,0.760016812
1.862617738,0.752693096
1.862617738,0.755609615
1.862617738,0.721779941
1.862617738,0.724851592
1.862617738,0.728732969
1.862617738,0.731230325
1.862617738,0.745439372
1.862617738,0.746137284
1.862617738,0.72240838
1.862617738,0.724962553
1.862617738,0.736146997
1.862617738,0.738927887
1.862617738,0.766535526
1.862617738,0.767639206
1.862617738,0.695898709
1.862617738,0.700293926
1.862617738,0.704145647
1.862617738,0.706069608
0,0.893532003
0,0.894794963
0,0.919413304
0,0.91726246
0,0.900855278
0,0.907441542
0,0.892420569
0,0.903382454
0,0.897733256
0,0.902527143
0,0.902400683
0,0.863185586
0,0.89586899
0,0.884495567
0,0.908726859
0,0.901697438
3.538732032,0.775910128
3.538732032,0.750388606
3.538732032,0.729090306
3.538732032,0.767684698
3.538732032,0.800283199
3.538732032,0.758588196
3.538732032,0.756878074
3.538732032,0.875232094
3.538732032,0.795304494
3.538732032,0.765257784
3.538732032,0.773093831
3.538732032,0.749853601
3.538732032,0.757451882
3.538732032,0.806617298
3.538732032,0.767553042
3.538732032,0.793330731
3.538732032,0.872641118
3.538732032,0.877415002
2.888822771,0.50955767
2.888822771,0.609120927
3.008242703,0.654580529
3.008242703,0.609843066
3.008242703,0.326553494
3.008242703,0.605198069
3.008242703,0.039928715
4.025763183,0.754892705
4.032720139,0.743727613
3.921735806,0.738904542
3.953798367,0.746098082
4.118842336,0.632637607
4.130596485,0.604487019
4.161871535,0.643885232
4.09060458,0.741576544
4.074460732,0.757708262
4.132679958,0.763552209
3.279680897,0.735919289
4.170763441,0.738671197
0,0.635589463
0,0.68116139
0,0.668071551
0,0.630217717
0,0.67585247
0,0.633190696
0,0.66379031
0,0.610339824
2.469394726,0.891388519
2.469394726,0.892959185
2.469394726,0.891861872
2.469394726,0.902546853
2.469394726,0.890090688
2.469394726,0.914889087
2.469394726,0.905515333
2.469394726,0.905290129
2.469394726,0.89819094
2.469394726,0.891473163
2.469394726,0.902909216
2.469394726,0.902537984
4.473068236,0.757322604
4.473068236,0.782799342
4.473068236,0.804003668
4.473068236,0.753150281
4.473068236,0.798524637
4.473068236,0.733513834
4.473068236,0.665896434
4.473068236,0.598537941
4.473068236,0.603161746
4.044435374,0.850571437
4.044435374,0.855482277
4.044435374,0.866249418
4.044435374,0.727739426
4.044435374,0.688201357
4.044435374,0.723353729
4.044435374,0.538902348
4.044435374,0.705667722
4.473068236,0.847580783
4.473068236,0.879660999
3.299376118,0.600552151
4.473068236,0.634763918
3.299376118,0.625291613
3.299376118,0.611977296
3.07314075,0.854263683
3.07314075,0.89615727
3.07314075,0.905646949
3.07314075,0.851412856
3.07314075,0.896181652
3.07314075,0.900735941
3.07314075,0.842334755
3.07314075,0.914148371
3.07314075,0.911183342
3.07314075,0.903580206
3.07314075,0.876235314
3.07314075,0.863645885
3.008242703,0.54944857
2.851195802,0.529071185
0,0.932306049
0,0.918822172
0,0.931298854
0,0.930923274
0,0.928510835
0,0.925458366
0,0.928712792
0,0.904488935
0,0.902597445
0,0.900131256
0,0.89848265
0,0.899846981
0,0.916460009
0,0.920231129
0,0.922725357
0,0.920787889
0,0.924531372
0,0.922510514
0,0.919390045
0,0.917246275
0,0.92239358
0,0.930419611
0,0.928623417
0,0.914742626
0,0.934219828
0,0.931172848
0,0.933009556
0,0.933031165
0,0.931415061
0,0.929555572
0,0.93187526
0,0.931661182
0,0.925238555
0,0.925581032
0,0.92629435
0,0.927342325
0,0.923782105
0,0.931665117
0,0.923522305
0,0.893937782
0,0.919183182
0,0.919188686
0,0.920797866
0,0.918442663
0,0.921405794
0,0.920810431
0,0.884011939
0,0.879936069
0,0.880266705
0,0.865889993
0,0.884391438
0,0.911703865
0,0.91702941
0,0.915061578
0,0.910438916
0,0.92054164
0,0.913840984
0,0.900099522
0,0.914502995
0,0.917823467
0,0.900450652
0,0.93412857
0,0.930101946
0,0.931161606
0,0.931097045
0,0.930118378
0,0.930800497
0,0.917747468
0,0.916741801
4.392465565,0.781747498
4.392465565,0.780393532
4.392465565,0.817704316
4.392465565,0.834511599
4.392465565,0.827860353
4.392465565,0.825126963
2.515384101,0.873774474
2.515384101,0.873774474
4.683038829,0.745418502
4.683038829,0.590857617
4.683038829,0.632020719
4.683038829,0.728595515
4.683038829,0.735611554
4.683038829,0.696624138
4.683038829,0.702931219
4.683038829,0.702848943
4.683038829,0.737340881
4.683038829,0.731876674
4.683038829,0.741898507
4.683038829,0.743465098
4.683038829,0.732417585
4.683038829,0.729634682
4.683038829,0.721439223
4.683038829,0.718957956
4.683038829,0.699614604
4.683038829,0.693381116
4.683038829,0.67386672
4.683038829,0.70304077
4.683038829,0.729645073
4.683038829,0.727766757
4.683038829,0.696515207
4.683038829,0.701862822
4.683038829,0.737488544
4.683038829,0.719148589
4.683038829,0.690749315
4.683038829,0.715687071
4.683038829,0.710441757
4.683038829,0.705242114
4.683038829,0.686234855
4.683038829,0.7456708
4.683038829,0.71928619
4.683038829,0.725634823
4.683038829,0.669163121
4.683038829,0.689585781
4.683038829,0.624872641
4.683038829,0.669214548
3.993738322,0.705603832
3.993738322,0.738197418
3.993738322,0.721080847
3.993738322,0.717752735
3.993738322,0.803506208
3.993738322,0.740190306
3.993738322,0.733043126
3.993738322,0.719941956
3.993738322,0.726068087
3.993738322,0.749114695
