Sample,PR,Multi_funcion_nokegg_noVB12,Pesticide_usage,Nitrogen_Fertilizer_Application,Phosphorus_Fertilizer_Application,Agriculture_Expansion,Agriculture_forestry_and_fishing_value_added,Terrestrial_and_marine_protected_areas,Crop_Harvested,Urban_Expansion,CO2_emissions__metric_tons_per_capita_,Energy_use__kg_of_oil_equivalent_per_capita_,GDP,GNI_PPP__current_international,Industry__including_construction,Population_density,TS_9,TP_9,TK_9,TC_9,PHH2O_9,OC_9,ECE_9,CEC_9,CACO3_9,TN_9,BD_9,Annual_Mean_Temperature,Annual_Precipitation,Mean_Diurnal_Range
ERR1700674,0,0.782478066,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700677,0,0.697475045,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700678,0,0.711819202,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700679,0,0.719178859,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700683,0,0.881934107,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700684,0,0.669636733,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700685,0,0.741332891,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700687,0,0.99069201,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700688,0,0.95117509,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700689,0,0.744882858,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
